0;Бог обращается к вам. Ноль – это знак бесконечного круга Омеги без начала и без конца. Бог хочет привлечь ваше внимание, чтобы воодушевить вас или дать совет.
1;Не теряйте оптимизма. Все, о чем вы думаете, сбудется, поэтому думайте только о том, чего на самом деле желаете. Доверьте свои страхи Богу и ангелам.
2;Все хорошо сейчас и будет хорошо и впредь. Продолжайте верить, и надежда выведет вас к свету. Попросите ангелов, и они подкрепят вашу веру.
3;Вам помогает вознесенный учитель – как правило, тот, с которым вы чувствуете особую связь: Иисус, Гуаньинь, кто-то из святых или другой религиозный или духовный наставник.
4;Ангелы с вами. Они посылают вам цифру 4 в доказательство того, что они слышат ваши молитвы и поддерживают вас.
5;Происходят значительные перемены, и это к лучшему. Попросите Небеса помочь вам приспособиться к изменениям в вашей жизни.
6;Не беспокойтесь и не тревожьтесь о материальном (включая деньги). Тревога снижает действенность молитв. Но, к счастью, ангелы откликаются, если их попросить.
7;Вы на верном пути. Результат превзойдет все ваши ожидания! 7 – это знак того, что божественная сила поддерживает вас и отворяет все двери на вашем пути.
8;8 – это знак богатства и процветания. Также это знак бесконечности и символ нескончаемого потока денег, времени, идей и всего того, что вам нужно (особенно для реализации вашей жизненной задачи).
9;Служитель Света, настало время взяться за труд! 9 означает, что вы завершили все подготовительные этапы и теперь готовы взяться за дело своей жизни. Не тратьте время зря, действуйте – шаг за шагом.
10;Бог хочет, чтобы вы рассматривали ситуацию, в которой находитесь, с оптимистичной точки зрения. Все происходит ради вашего высшего блага. Попросите Бога помочь вам сохранять уверенность, потому что ваши мысли влияют на исход дела.
11;Думайте о хорошем! Ваши мысли быстро материализуются, поэтому, чтобы итог был радостным, сосредоточьтесь на самом благом в себе, в окружающих и в ситуации.
12;Смотрите в будущее с оптимизмом, потому что ваши мысли влияют на него. Храните веру и надежду – от них многое зависит.
13;Вознесенные учителя (Иисус, Гуаньинь и другие) присматривают за вами и поддерживают в вас благой настрой. Число 13 также означает, что богини и вознесенные наставницы охраняют вашу радость.
14;Положитесь на ангелов: они помогут вам сохранить жизнерадостность и оптимизм.
15;Ваша жизнь меняется, но помните, что нужно мыслить позитивно. Благодаря положительному настрою перемены окажутся исключительно к лучшему.
16;Ваши слова обладают чудесной силой и притягивают к вам именно то, о чем вы говорите и думаете.
17;Ангелы восхищены вашей уверенностью и оптимизмом. Они говорят, что у вас есть для этого все основания, ведь ваши позитивные утверждения воплощаются в жизнь. Не сдавайтесь, вы на верном пути!
18;Ваши мысли – это вентиль, который может открыть или перекрыть финансовый поток. Не падайте духом, и материальные блага легко потекут вам в руки. Попросите ангелов помочь вам сохранять оптимизм, особенно в отношении денег, потому что тревога может стать препятствием на их пути к вам.
19;Верьте в себя и свою жизненную задачу. Ангелы хотят передать вам: вы готовы следовать за мечтой. Думайте о хорошем и действуйте без промедления.
20;Ваша связь с Создателем прочна, и вы ясно слышите Его голос. Бог просит вас довериться Ему сердцем и разумом (попросите Небеса помочь вам в этом). Награда за веру уже ждет вас.
21;У вас есть все основания для того, чтобы радоваться жизни! Прямо сейчас ангелы незримо трудятся на ваше благо. Чтобы поспособствовать их трудам, произносите позитивные утверждения и верьте, что мечта уже воплощается в жизнь.
22;Ангелам ведомо, что ответ на ваши молитвы уже пришел, и они просят вас сохранять терпение и душевное равновесие, пока на Небесах работают над завершающими штрихами. Ангелы настойчиво призывают: «Продолжайте верить!»
23;Вы сотрудничаете с одним или несколькими вознесенными учителями (например, с Иисусом, Моисеем, святыми или богинями). Это – послание от кого-то из них, и этот кто-то желает сообщить, что ответ на ваши молитвы уже близок. Сохраняйте положительный настрой, чтобы ответ оказался как можно более благоприятным.
24;Сейчас к вашим привычным ангелам присоединились и другие, чтобы помочь вам сохранить оптимизм независимо от того, что происходит вокруг. Ангелы знают, насколько может быть сильна вера. Они очищают вас от негативных мыслей и чувств, чтобы ваши желания легко воплотились в жизнь.
25;Ваша жизнь кардинально меняется. Главное – настройтесь на лучшее, такой подход будет вознагражден.
26;Позитивные утверждения помогут быстро улучшить ситуацию. Ангелы просят вас думать и говорить только о желаемом и не утверждаться в своих страхах, потому что страх – это только иллюзия.
27;Поздравляю! Оптимизм привлекает к вам прекрасные ситуации и отношения. Продолжайте в том же духе, потому что это идет вам на пользу.
28;К вам текут деньги, потому что вы верите, что Небеса полностью поддерживают вас, ваших близких и вашу жизненную задачу.
29;Не теряйте веры в значимость своего смысла жизни. Приложите все силы к служению, используйте свои таланты, страсти и склонности. Для вас отворяются двери. Главное – верьте.
30;Бог и вознесенные учителя полностью вас поддерживают. Уверенно идите к своим мечтам!
31;Вознесенные учителя просят вас отказаться от земных иллюзий и увидеть божественное совершенство в себе, в других и в том, что с вами происходит. Как только вы его узрите, оно проявится в ваших отношениях, в карьере, здоровье и других сферах жизни.
32;Вознесенный учитель Иисус напоминает: используйте его утверждение о силе веры («Все возможно верующему») прямо сейчас.
33;Ваша связь с вознесенными учителями прочна, они откликаются на ваш призыв и ваши молитвы. Продолжайте говорить с ними, потому что они помогают вам прямо сейчас.
34;Ангелы и вознесенные учителя с вами, и они слышат ваши молитвы и отвечают на них.
35;"Вознесенные учителя защищают вас и помогают вам; в вашу жизнь скоро придут благоприятные перемены."
36;Вознесенные учителя просят вас сосредоточиться на духовном и предоставить им позаботиться о материальном.
37;Вы на верном пути. Вознесенные учителя помогают вам и поддерживают вас.
38;Вознесенные учителя помогают вам с финансами.
39;Вознесенные учителя помогают вам. Они настоятельно побуждают вас трудиться над своей жизненной задачей.
40;Бог и ангелы окружают вас небесной любовью и защитой.
41;Ангелы просят вас мыслить позитивно, ведь всё, что вы говорите и думаете, быстро воплощается в реальность.
42;Ангелы настоятельно призывают вас не терять веру.
